,Executing Time,Buffer Data,Process Name,Consume/Produce
0,02:21:07,"['N', '0', '0', '0', '0', '0', '0', '0', '0', '0']",Process-6-P,N
1,02:21:12,"['N', 'O', '0', '0', '0', '0', '0', '0', '0', '0']",Process-7-P,O
2,02:21:13,"['N', 'O', '0', '0', '0', '0', '0', '0', '0', '0']",Process-4-C,N
3,02:21:17,"['0', 'O', 'R', '0', '0', '0', '0', '0', '0', '0']",Process-6-P,R
4,02:21:18,"['0', 'O', 'R', '0', '0', '0', '0', '0', '0', '0']",Process-5-C,O
5,02:21:21,"['0', '0', 'R', 'T', '0', '0', '0', '0', '0', '0']",Process-7-P,T
6,02:21:23,"['0', '0', 'R', 'T', '0', '0', '0', '0', '0', '0']",Process-4-C,R
7,02:21:26,"['0', '0', '0', 'T', 'X', '0', '0', '0', '0', '0']",Process-6-P,X
8,02:21:28,"['0', '0', '0', 'T', 'X', '0', '0', '0', '0', '0']",Process-5-C,T
9,02:21:31,"['0', '0', '0', '0', 'X', 'E', '0', '0', '0', '0']",Process-7-P,E
10,02:21:32,"['0', '0', '0', '0', 'X', 'E', '0', '0', '0', '0']",Process-4-C,X
11,02:21:36,"['0', '0', '0', '0', '0', 'E', 'F', '0', '0', '0']",Process-6-P,F
12,02:21:37,"['0', '0', '0', '0', '0', 'E', 'F', '0', '0', '0']",Process-5-C,E
13,02:21:41,"['0', '0', '0', '0', '0', '0', 'F', 'F', '0', '0']",Process-7-P,F
14,02:21:42,"['0', '0', '0', '0', '0', '0', 'F', 'F', '0', '0']",Process-4-C,F
15,02:21:45,"['0', '0', '0', '0', '0', '0', '0', 'F', 'M', '0']",Process-6-P,M
16,02:21:47,"['0', '0', '0', '0', '0', '0', '0', 'F', 'M', '0']",Process-5-C,F
17,02:21:49,"['0', '0', '0', '0', '0', '0', '0', '0', 'M', 'Y']",Process-7-P,Y
18,02:21:51,"['0', '0', '0', '0', '0', '0', '0', '0', 'M', 'Y']",Process-4-C,M
19,02:21:54,"['N', '0', '0', '0', '0', '0', '0', '0', '0', 'Y']",Process-6-P,N
20,02:21:58,"['N', 'S', '0', '0', '0', '0', '0', '0', '0', 'Y']",Process-7-P,S
21,02:21:59,"['N', 'S', '0', '0', '0', '0', '0', '0', '0', 'Y']",Process-5-C,Y
22,02:22:01,"['N', 'S', '0', '0', '0', '0', '0', '0', '0', '0']",Process-4-C,N
23,02:22:05,"['0', 'S', 'E', '0', '0', '0', '0', '0', '0', '0']",Process-6-P,E
24,02:22:07,"['0', 'S', 'E', 'U', '0', '0', '0', '0', '0', '0']",Process-7-P,U
25,02:22:09,"['0', 'S', 'E', 'U', '0', '0', '0', '0', '0', '0']",Process-4-C,S
26,02:22:10,"['0', '0', 'E', 'U', '0', '0', '0', '0', '0', '0']",Process-5-C,E
27,02:22:14,"['0', '0', '0', 'U', 'N', '0', '0', '0', '0', '0']",Process-6-P,N
28,02:22:16,"['0', '0', '0', 'U', 'N', 'X', '0', '0', '0', '0']",Process-7-P,X
29,02:22:17,"['0', '0', '0', 'U', 'N', 'X', '0', '0', '0', '0']",Process-4-C,U
30,02:22:19,"['0', '0', '0', '0', 'N', 'X', '0', '0', '0', '0']",Process-5-C,N
31,02:22:21,"['0', '0', '0', '0', '0', 'X', 'J', '0', '0', '0']",Process-6-P,J
32,02:22:23,"['0', '0', '0', '0', '0', 'X', 'J', '0', '0', '0']",Process-4-C,X
33,02:22:25,"['0', '0', '0', '0', '0', '0', 'J', 'H', '0', '0']",Process-7-P,H
34,02:22:26,"['0', '0', '0', '0', '0', '0', 'J', 'H', '0', '0']",Process-5-C,J
35,02:22:30,"['0', '0', '0', '0', '0', '0', '0', 'H', 'T', '0']",Process-6-P,T
36,02:22:32,"['0', '0', '0', '0', '0', '0', '0', 'H', 'T', '0']",Process-4-C,H
37,02:22:35,"['0', '0', '0', '0', '0', '0', '0', '0', 'T', 'B']",Process-7-P,B
38,02:22:36,"['0', '0', '0', '0', '0', '0', '0', '0', 'T', 'B']",Process-5-C,T
39,02:22:42,"['0', '0', '0', '0', '0', '0', '0', '0', '0', 'B']",Process-5-C,B
